,Comment,Label
5,No my roommate playing out of tune Zeppelin songs right Outside my door isnt annoying Not at,0
116,Tweeting at work Having sooooo much fun and honestly not bored at,0
45,I love the way you,0
16,yay for awkward 2 hour breaks between,0
468,Thanks a lot Hotmail for blocking me from my own account So,0
360,Thank God the Romney Campaign is really specific on their policies and do not lie to Americans straight to their,0
3,Good thing I have work till close,0
405,5 1 2 hours of sleep sure I am ready for a 6am,0
185,Yay School If you could only see the joy on my,0
60,OMGOMG can not wait for school tomorrow,0
110,Because I am that dumb I do not know your tweets are about,0
321,I am such a genius that I think 13 15 27 It does,0
265,Wow kids drinking vodka in the back of the room during a lecture You guys are,0
29,oh piss of you piece is shit she is lovely to me is not,0
262,Powering through these physics questions Getting them all wrong in the process D,0
478,Absolutely PERFECT time to have a fire,0
26,Oh hey let me talk to another dentist about our kids field trips while i poke the shit outta your mouth I love the,0
7,I am so ready to get off and sit on my butt for the rest of the,0
492,The past two hours I have sat in a senior class being instructed what color is and how to open Indesign I feel so,0
108,Injections are,0
37,My tech class has 13 people in it 10 of them are,0
157,I just love my,0
472,Always said delaney was,0
118,25km cycle back from dropping car for a service need to do lots of foamrolling then workout woohoo Actually love it no,0
114,Filling out medical forms is how I like to spend my Tuesday,0
175,Thank you alarm clock for never going,0
192,Smoking pot lowers your IQ Seriously I had no,1
272,Very mature Justin will love to see this trend it will show him what nice fans he,0
144,Did not even sleep on a pillow this is going to be fun for me with all this damn,0
373,Really looking forward to cycling through the,0
383,Surely Juventus are not big enough for the greatest footballer the world has ever,1
356,please jump up and down more it is soothing and makes it easier to,1
277,Ca not wait to sit through 6 hours of lab,0
220,Love walking through your cloud of cigarette smoke Why buy my own pack when I can just inhale,0
450,Nothing like the smell of browning ground beef at 645 in the,0
141,And I am back to the real world of working a crapy job by day and being a musician by,0
369,Nothing like getting stuck babysitting You get to watch the Disney channel all,0
67,Man Robinson Cano could be the laziest MVP,0
361,Driving with a neck ache is not safe I can not turn my head to the,0
168,Going to back to shithole parma senior high cant wait to see all your shining,0
499,At least my alarm woke me up in time for class this,0
394,Everything Happens For A Reason Yeah I Just Fall Down The Fucking Stairs So I Went To Hospital On,0
400,LOVE Being Called into Work on My Day,0
193,Oh how I love those jerks out,0
249,Love getting home from work knowing that in less than 8hours you are getting up to go back there,0
109,It seems the only time I can stay awake now it is at 4 30 in the morning No need to sleep anymore Do not worry I am,0
420,can not wait too get all sweaty in,0
145,Love waking up to dig puke piles in the,0
92,Looking forward to staring at the ceiling until I fall,0
152,5 hours of,0
222,Thanks for telling us the class catalogue was finally up for DL four days before school,1
304,I will study Art Appreciation some more write my Ethics papers Oh how,0
83,I really like it when I ask an important question and do not get an answer I hope this keeps up I like it so,0
248,Arguing with my mom is the best lem me tell,0
165,I just love missing the,0
163,Yeeeee College class in the A M is where its at boiii,0
199,Thanks a lot Warren Clayton for reminding me to do the reading,0
231,you know what a great feeling is getting the exfoliating beads from face wash in your,0
74,Yaay for going into to gr 12 but looking like a,1
311,I am so glad I am working,0
455,I get to go to my brothers soccer game yay just what I wanted to do,0
253,Finding that out made me SO,0
119,everytime i go to the pub at least one person tells me my mum is hot fit stunning milf etc makes me feel,0
284,I was hoping just a LITTLE more shit could hit the fan this,0
302,Darn it I forgot to take pictures with trees,1
483,love how I can not even sleep in,0
357,Please send me more invites to get the dislike button The first 500 were clearly not,1
