Subjectivity,Word,Sentiment,Polarity
weaksubj,abandoned,n,negative
weaksubj,abandonment,n,negative
weaksubj,abandon,y,negative
strongsubj,abase,y,negative
strongsubj,abasement,y,negative
strongsubj,abash,y,negative
weaksubj,abate,y,negative
weaksubj,abdicate,y,negative
strongsubj,aberration,n,negative
strongsubj,aberration,n,negative
strongsubj,abhor,y,negative
strongsubj,abhor,y,negative
strongsubj,abhorred,n,negative
strongsubj,abhorrence,n,negative
strongsubj,abhorrent,n,negative
strongsubj,abhorrently,n,negative
strongsubj,abhors,n,negative
strongsubj,abhors,n,negative
strongsubj,abidance,n,positive
strongsubj,abidance,n,positive
strongsubj,abide,y,positive
strongsubj,abject,n,negative
strongsubj,abjectly,n,negative
weaksubj,abjure,y,negative
weaksubj,abilities,n,positive
weaksubj,ability,n,positive
weaksubj,able,n,positive
weaksubj,abnormal,n,negative
weaksubj,abolish,y,negative
strongsubj,abominable,n,negative
strongsubj,abominably,n,negative
strongsubj,abominate,y,negative
strongsubj,abomination,n,negative
weaksubj,above,n,positive
weaksubj,above-average,n,positive
weaksubj,abound,y,positive
weaksubj,abrade,y,negative
strongsubj,abrasive,n,negative
weaksubj,abrupt,n,negative
strongsubj,abscond,y,negative
weaksubj,absence,n,negative
weaksubj,absentee,y,negative
strongsubj,absent-minded,n,negative
strongsubj,absolve,y,positive
strongsubj,absolute,n,neutral
strongsubj,absolutely,n,neutral
weaksubj,absorbed,n,neutral
strongsubj,absurd,n,negative
strongsubj,absurdity,n,negative
strongsubj,absurdly,n,negative
strongsubj,absurdness,n,negative
weaksubj,abundant,n,positive
weaksubj,abundance,n,positive
weaksubj,abuse,n,negative
weaksubj,abuse,n,negative
strongsubj,abuse,y,negative
weaksubj,abuses,n,negative
weaksubj,abuses,n,negative
strongsubj,abusive,n,negative
strongsubj,abysmal,n,negative
strongsubj,abysmally,n,negative
strongsubj,abyss,n,negative
strongsubj,accede,y,positive
strongsubj,accentuate,y,neutral
weaksubj,accept,y,positive
weaksubj,acceptance,n,positive
weaksubj,acceptable,n,positive
weaksubj,accessible,n,positive
weaksubj,accidental,n,negative
strongsubj,acclaim,n,positive
strongsubj,acclaim,y,positive
strongsubj,acclaimed,n,positive
strongsubj,acclamation,y,positive
strongsubj,accolade,n,positive
strongsubj,accolades,n,positive
weaksubj,accommodative,n,positive
weaksubj,accomplish,y,positive
weaksubj,accomplishment,n,positive
weaksubj,accomplishments,n,positive
weaksubj,accord,y,positive
weaksubj,accordance,n,positive
weaksubj,accordantly,n,positive
weaksubj,accost,y,negative
weaksubj,accountable,n,negative
weaksubj,accurate,n,positive
weaksubj,accurately,n,positive
strongsubj,accursed,n,negative
strongsubj,accusation,n,negative
strongsubj,accusation,n,negative
strongsubj,accusations,n,negative
strongsubj,accusations,n,negative
strongsubj,accuse,y,negative
strongsubj,accuses,n,negative
strongsubj,accusing,n,negative
strongsubj,accusingly,n,negative
strongsubj,acerbate,y,negative
strongsubj,acerbic,n,negative
strongsubj,acerbically,n,negative
strongsubj,ache,y,negative
weaksubj,achievable,n,positive
weaksubj,achieve,y,positive
weaksubj,achievement,n,positive
weaksubj,achievements,n,positive
weaksubj,acknowledge,y,positive
weaksubj,acknowledgement,n,positive
weaksubj,acquit,y,positive
strongsubj,acrid,n,negative
strongsubj,acridly,n,negative
strongsubj,acridness,n,negative
strongsubj,acrimonious,n,negative
strongsubj,acrimoniously,n,negative
strongsubj,acrimony,n,negative
weaksubj,active,n,positive
strongsubj,activist,n,neutral
strongsubj,activist,n,neutral
strongsubj,actual,n,neutral
strongsubj,actuality,n,neutral
strongsubj,actually,n,neutral
strongsubj,acumen,n,positive
strongsubj,adamant,n,negative
strongsubj,adamantly,n,negative
weaksubj,adaptable,n,positive
weaksubj,adaptability,n,positive
weaksubj,adaptive,n,positive
weaksubj,addict,n,negative
weaksubj,addiction,n,negative
weaksubj,adept,n,positive
weaksubj,adeptly,n,positive
weaksubj,adequate,n,positive
weaksubj,adherence,n,positive
weaksubj,adherent,n,positive
weaksubj,adhesion,n,positive
strongsubj,admirable,n,positive
strongsubj,admirer,n,positive
strongsubj,admirable,n,positive
strongsubj,admirably,n,positive
strongsubj,admiration,n,positive
strongsubj,admire,y,positive
strongsubj,admiring,n,positive
strongsubj,admiringly,n,positive
weaksubj,admission,n,positive
weaksubj,admission,n,positive
strongsubj,admit,y,positive
strongsubj,admittedly,y,positive
strongsubj,admonish,y,negative
strongsubj,admonisher,y,negative
strongsubj,admonishingly,y,negative
strongsubj,admonishment,y,negative
strongsubj,admonition,n,negative
strongsubj,adolescents,n,neutral
strongsubj,adolescents,n,neutral
strongsubj,adorable,n,positive
strongsubj,adore,y,positive
strongsubj,adored,n,positive
strongsubj,adorer,y,positive
strongsubj,adorer,n,positive
strongsubj,adoring,n,positive
strongsubj,adoringly,n,positive
weaksubj,adrift,n,negative
strongsubj,adroit,n,positive
strongsubj,adroitly,n,positive
strongsubj,adulate,y,positive
strongsubj,adulation,y,positive
strongsubj,adulatory,n,positive
strongsubj,adulterate,y,negative
strongsubj,adulterated,n,negative
strongsubj,adulteration,n,negative
weaksubj,advanced,n,positive
weaksubj,advantage,n,positive
weaksubj,advantage,n,positive
strongsubj,advantageous,n,positive
weaksubj,advantages,n,positive
weaksubj,advantages,n,positive
weaksubj,adventure,n,positive
weaksubj,adventure,n,positive
strongsubj,adventuresome,n,positive
strongsubj,adventurism,n,positive
weaksubj,adventurous,n,positive
weaksubj,adversarial,n,negative
weaksubj,adversary,y,negative
weaksubj,adverse,n,negative
strongsubj,adversity,n,negative
weaksubj,advice,n,positive
weaksubj,advice,n,positive
weaksubj,advisable,n,positive
strongsubj,advocate,y,positive
strongsubj,advocacy,n,positive
strongsubj,affable,n,positive
weaksubj,affability,n,positive
